t_s,i_A,i_ref_A,active
0.019956,0.000000,15.000000,0.000000
0.019958,0.000000,15.000000,0.000000
0.019960,0.000000,15.000000,0.000000
0.019962,0.000000,15.000000,0.000000
0.019964,0.000000,15.000000,0.000000
0.019966,0.000000,15.000000,0.000000
0.019968,0.000000,15.000000,0.000000
0.019970,0.000000,15.000000,0.000000
0.019972,0.000000,15.000000,0.000000
0.019974,0.000000,15.000000,0.000000
0.019976,0.000000,15.000000,0.000000
0.019978,0.000000,15.000000,0.000000
0.019980,0.000000,15.000000,0.000000
0.019982,0.000000,15.000000,0.000000
0.019984,0.000000,15.000000,0.000000
0.019986,0.000000,15.000000,0.000000
0.019988,0.000000,15.000000,0.000000
0.019990,0.000000,15.000000,0.000000
0.019992,0.000000,15.000000,0.000000
0.019994,0.000000,15.000000,0.000000
0.019996,0.000000,15.000000,0.000000
0.019998,0.000000,15.000000,0.000000
0.020000,0.000000,15.000000,0.000000
0.020002,0.000000,15.000000,0.000000
0.020004,0.000000,15.000000,0.000000
0.020006,0.000000,15.000000,0.000000
0.020008,0.000000,15.000000,0.000000
0.020010,0.000000,15.000000,0.000000
0.020012,0.000000,15.000000,0.000000
0.020014,0.000000,15.000000,0.000000
0.020016,0.000000,15.000000,0.000000
0.020018,0.000000,15.000000,0.000000
0.020020,0.000000,15.000000,0.000000
0.020022,0.000000,15.000000,0.000000
0.020024,0.000000,15.000000,0.000000
0.020026,0.000000,15.000000,0.000000
0.020028,0.000000,15.000000,0.000000
0.020030,0.000000,15.000000,0.000000
0.020032,0.000000,15.000000,0.000000
0.020034,0.000000,15.000000,0.000000
0.020036,0.000000,15.000000,0.000000
0.020038,0.000000,15.000000,0.000000
0.020040,0.000000,15.000000,0.000000
0.020042,0.000000,15.000000,0.000000
0.020044,0.000000,15.000000,0.000000
0.020046,0.000000,15.000000,0.000000
0.020048,0.000000,15.000000,0.000000
0.020050,0.000000,15.000000,0.000000
0.020052,0.000000,15.000000,0.000000
0.020054,0.000000,15.000000,0.000000
0.020056,0.000000,15.000000,0.000000
0.020058,0.000000,15.000000,0.000000
0.020060,0.000000,15.000000,0.000000
0.020062,0.000000,15.000000,0.000000
0.020064,0.000000,15.000000,0.000000
0.020066,0.000000,15.000000,0.000000
0.020068,0.000000,15.000000,0.000000
0.020070,0.000000,15.000000,0.000000
0.020072,0.000000,15.000000,0.000000
0.020074,0.000000,15.000000,0.000000
0.020076,0.000000,15.000000,0.000000
0.020078,0.000000,15.000000,0.000000
0.020080,0.000000,15.000000,0.000000
0.020082,0.000000,15.000000,0.000000
0.020084,0.000000,15.000000,0.000000
0.020086,0.000000,15.000000,0.000000
0.020088,0.000000,15.000000,0.000000
0.020090,0.000000,15.000000,0.000000
0.020092,0.000000,15.000000,0.000000
0.020094,0.000000,15.000000,0.000000
0.020096,0.000000,15.000000,0.000000
0.020098,0.000000,15.000000,0.000000
0.020100,0.000000,15.000000,0.000000
0.020102,0.000000,15.000000,0.000000
0.020104,0.000000,15.000000,0.000000
0.020106,0.000000,15.000000,0.000000
0.020108,0.000000,15.000000,0.000000
0.020110,0.000000,15.000000,0.000000
0.020112,0.000000,15.000000,0.000000
0.020114,0.000000,15.000000,0.000000
0.020116,0.000000,15.000000,0.000000
0.020118,0.000000,15.000000,0.000000
0.020120,0.000000,15.000000,0.000000
0.020122,0.000000,15.000000,0.000000
0.020124,0.000000,15.000000,0.000000
0.020126,0.000000,15.000000,0.000000
0.020128,0.000000,15.000000,0.000000
0.020130,0.000000,15.000000,0.000000
0.020132,0.000000,15.000000,0.000000
0.020134,0.000000,15.000000,0.000000
0.020136,0.000000,15.000000,0.000000
0.020138,0.000000,15.000000,0.000000
0.020140,0.000000,15.000000,0.000000
0.020142,0.000000,15.000000,0.000000
0.020144,0.000000,15.000000,0.000000
0.020146,0.000000,15.000000,0.000000
0.020148,0.000000,15.000000,0.000000
0.020150,0.000000,15.000000,0.000000
0.020152,0.000000,15.000000,0.000000
0.020154,0.000000,15.000000,0.000000
0.020156,0.000000,15.000000,0.000000
0.020158,0.000000,15.000000,0.000000
0.020160,0.000000,15.000000,0.000000
0.020162,0.000000,15.000000,0.000000
0.020164,0.000000,15.000000,0.000000
0.020166,0.000000,15.000000,0.000000
0.020168,0.000000,15.000000,0.000000
0.020170,0.000000,15.000000,0.000000
0.020172,0.000000,15.000000,0.000000
0.020174,0.000000,15.000000,0.000000
0.020176,0.000000,15.000000,0.000000
0.020178,0.000000,15.000000,0.000000
0.020180,0.000000,15.000000,0.000000
0.020182,0.000000,15.000000,0.000000
0.020184,0.000000,15.000000,0.000000
0.020186,0.000000,15.000000,0.000000
0.020188,0.000000,15.000000,0.000000
0.020190,0.000000,15.000000,0.000000
0.020192,0.000000,15.000000,0.000000
0.020194,0.000000,15.000000,0.000000
0.020196,0.000000,15.000000,0.000000
0.020198,0.000000,15.000000,0.000000
0.020200,0.000000,15.000000,0.000000
0.020202,0.000000,15.000000,0.000000
0.020204,0.000000,15.000000,0.000000
0.020206,0.000000,15.000000,0.000000
0.020208,0.000000,15.000000,0.000000
0.020210,0.000000,15.000000,0.000000
0.020212,0.000000,15.000000,0.000000
0.020214,0.000000,15.000000,0.000000
0.020216,0.000000,15.000000,0.000000
0.020218,0.000000,15.000000,0.000000
0.020220,0.000000,15.000000,0.000000
0.020222,0.000000,15.000000,0.000000
0.020224,0.000000,15.000000,0.000000
0.020226,0.000000,15.000000,0.000000
0.020228,0.000000,15.000000,0.000000
0.020230,0.000000,15.000000,0.000000
0.020232,0.000000,15.000000,0.000000
0.020234,0.000000,15.000000,0.000000
0.020236,0.000000,15.000000,0.000000
0.020238,0.000000,15.000000,0.000000
0.020240,0.000000,15.000000,0.000000
0.020242,0.000000,15.000000,0.000000
0.020244,0.000000,15.000000,0.000000
0.020246,0.000000,15.000000,0.000000
0.020248,0.000000,15.000000,0.000000
0.020250,0.000000,15.000000,0.000000
0.020252,0.000000,15.000000,0.000000
0.020254,0.000000,15.000000,0.000000
0.020256,0.000000,15.000000,0.000000
0.020258,0.000000,15.000000,0.000000
0.020260,0.000000,15.000000,0.000000
0.020262,0.000000,15.000000,0.000000
0.020264,0.000000,15.000000,0.000000
0.020266,0.000000,15.000000,0.000000
0.020268,0.000000,15.000000,0.000000
0.020270,0.000000,15.000000,0.000000
